,Returns,Risk,Sharpe Ratio,Ccola,Pepsi,Monster,Carlsberg
0,0.19299398987983557,0.2352015475743322,0.7355138249044183,0.25,0.25,0.25,0.25
1,0.1465726479847226,0.19269090834135155,0.6568688116851856,0.08,0.03,0.68,0.22
2,0.13275021769747622,0.17167110832737825,0.6567803912727155,0.26,0.31,0.42,0.01
3,0.11527189058167789,0.16267869666868495,0.5856445406352789,0.28,0.13,0.23,0.36
4,0.14053771527043035,0.17868703124402446,0.674574502868189,0.22,0.31,0.1,0.37
5,0.1607084817823075,0.19323396462905973,0.7281767573957177,0.25,0.2,0.33,0.21
6,0.14424915847522154,0.1870268529105685,0.664338604545917,0.08,0.17,0.43,0.32
7,0.14467880744499825,0.1819172482506881,0.6853600120049455,0.06,0.47,0.37,0.1
8,0.1342606410361144,0.17684493353069639,0.6461063868492521,0.13,0.32,0.35,0.2
9,0.1556153758091285,0.20527602038164966,0.6606488938990149,0.35,0.09,0.26,0.3
10,0.12569282834953158,0.17034064607127924,0.620479203215563,0.4,0.04,0.47,0.09
11,0.1572300645169923,0.19981987964267814,0.6867688278182823,0.34,0.11,0.18,0.37
12,0.11528111887957743,0.17359997721910253,0.5488544434503123,0.15,0.32,0.48,0.05
13,0.10802080141306775,0.19150539476855924,0.45962570150801163,0.43,0.25,0.18,0.13
14,0.13990267052444957,0.18322175557474957,0.6544128460527303,0.63,0.11,0.12,0.15
15,0.11101880679697965,0.17210203156954842,0.5288653827435958,0.38,0.02,0.29,0.32
16,0.11451357660373226,0.16534582438529294,0.5716115115401668,0.44,0.22,0.12,0.22
17,0.16545160991865066,0.204550289898961,0.7110799500235246,0.07,0.48,0.09,0.36
18,0.13064340158601373,0.1736837258783472,0.6370395443008365,0.03,0.29,0.51,0.16
19,0.15639706069574338,0.1985048499076942,0.6871220565097969,0.26,0.3,0.25,0.2
20,0.13260341154481464,0.1728569169051824,0.651425546404841,0.23,0.22,0.47,0.08
21,0.14298116079128106,0.18441564701430485,0.6668694483486078,0.19,0.33,0.25,0.24
22,0.10984393454973365,0.16270905548783896,0.5521753800386893,0.28,0.21,0.37,0.13
23,0.13322058212570642,0.17929908037157058,0.6314621463259804,0.23,0.16,0.01,0.59
24,0.12907176371023382,0.17634033066512808,0.6185298808209797,0.37,0.15,0.28,0.2
25,0.11655188792248773,0.18447499843604143,0.52338738984168,0.27,0.38,0.28,0.07
26,0.1464779940833307,0.18221782073734677,0.6941033186081135,0.55,0.08,0.17,0.2
27,0.11788757664915643,0.16378831477963093,0.5976468881852732,0.01,0.33,0.32,0.34
28,0.138628468223256,0.1818707085457998,0.652268136918718,0.12,0.33,0.09,0.46
29,0.1183806500867425,0.16714715157699944,0.5885870573236878,0.37,0.06,0.3,0.27
30,0.15894588903712933,0.190583132734175,0.7290565909152664,0.34,0.14,0.12,0.4
31,0.15150755014573755,0.18676857687382173,0.7041203201681097,0.09,0.15,0.41,0.35
